,Identifiant,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee,target
0,16872,2012,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,2682,2,1970,0,4,78383,0
1,16852,2012,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2925,2,1960,0,6,78242,1
2,598,2014,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,525,4,1960,0,   .,75120,0
3,4516,2013,"0,161643836",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,443,2,1980,0,   .,11901,0
4,7939,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1070,1,,0,   .,42330,0
5,17980,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2857,1,1960,0,6,35093,0
6,15861,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2800,2,1990,0.3,6,62826,1
7,577,2013,"0,484931507",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4998,3,1980,0,   .,64445,1
8,18087,2015,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,eff,2,3700,1,1965,0.3,6,50147,1
9,12221,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2340,2,1988,0,   .,31113,1
10,6839,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,1,1988,0,   .,5077,0
11,5834,2014,"0,663013699",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,842,1,1960,0,   .,42095,0
12,3896,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,462,2,1988,0,   .,77053,0
13,12247,2013,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,eff,2,1400,2,1960,0,8,13208,0
14,17909,2014,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,850,3,1960,0,4,93055,0
15,6124,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,O,base,2,20,2,1988,0,   .,38140,0
16,13178,2014,"0,747945205",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1700,2,1960,0,   .,51108,0
17,9516,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1120,1,1960,0,   .,42187,0
18,3808,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,390,1,1970,0.6,4,74169,0
19,14658,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,510,3,1980,0,   .,54395,0
20,3073,2012,0,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2447,4,,0,   .,6088,0
21,7309,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1599,2,1960,0,   .,38563,1
22,660,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,420,4,1960,0,   .,6088,0
23,7128,2016,0,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,90,3,1980,0,   .,92063,0
24,8745,2013,"0,161643836",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2240,4,,0,   .,6088,1
25,15290,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,4273,1,2009,0,5,74119,0
26,7918,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,200,3,,0,   .,92035,0
27,15825,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,570,4,1960,0.3,2,6036,0
28,300,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,335,2,1980,0,   .,9043,0
29,8997,2016,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,2260,3,1960,0,6,92025,1
30,3181,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,2,1960,0,   .,42218,0
31,477,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,495,1,1960,0,   .,1053,0
32,16878,2012,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1650,2,2005,0,4,64132,0
33,16214,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,600,1,1960,0.3,3,71329,0
34,8830,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3746,4,1985,0,5,6104,1
35,10748,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,2,1960,0,   .,13206,0
36,3144,2016,"0,99726776",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,1,750,1,1964,0.3,3,74133,0
37,4452,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,685,2,1980,0,   .,77431,0
38,11895,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1450,3,,0,   .,92062,0
39,4681,2014,"0,747945205",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,eff,2,1887,1,2000,0,4,74164,0
40,4319,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1056,3,,0,   .,64483,0
41,3120,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,900,1,1977,0,4,13021,0
42,16060,2012,1,1,V,N,2,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,effpi,2,12615,4,1974,0,>=10,75113,1
43,11253,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700,3,1980,0,   .,83137,0
44,18899,2012,"0,213114754",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2400,2,2007,0.3,4,77169,0
45,14654,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1037,4,,0,   .,75117,1
46,7453,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,465,2,1988,0,   .,31291,0
47,4042,2015,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1252,3,1930,0,7,92026,0
48,10673,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,2,1980,0,   .,26220,0
49,1347,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4231,2,1988,0,   .,34324,1
50,1076,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,375,1,1980,0,   .,74080,0
51,15749,2016,"0,99726776",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,770,3,1900,0,6,92035,0
52,18827,2015,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2210,1,1978,0,5,17299,0
53,3428,2012,0,1,V,V,V,V,V,V,V,V,V,V,V,V,V,base,2,404,3,,0,   .,92026,0
54,4093,2013,"0,169863014",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1275,2,1950,0,4,62667,0
55,13200,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3496,2,1988,0,   .,64102,1
56,12775,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,330,1,1970,0,3,13056,0
57,8915,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,7131,4,1988,0,   .,6083,1
58,9316,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,4,,0,   .,75120,0
59,5385,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3300,2,1960,0,   .,42218,1
60,3642,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,420,1,1980,0,   .,58194,0
61,15591,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,200,2,1940,0.3,4,34301,0
62,6597,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,550,4,1960,0,   .,6147,0
63,18928,2014,1,0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,891,1,1984,0,4,10387,0
64,14286,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1662,2,2006,0.6,3,64122,0
65,5322,2014,"0,120547945",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,13122,2,1960,0,   .,42218,1
66,4543,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3134,1,1980,0,   .,43157,1
67,15369,2016,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,800,2,1965,0.3,3,57663,0
68,15755,2016,"0,99726776",1,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,effpi,2,4536,1,1960,0,5,91161,1
69,15164,2012,1,0,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,base,2,350,2,1630,0.3,4,38315,0
70,19623,2014,"0,046575342",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,150,2,1975,0.6,3,83061,0
71,15837,2013,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,4100,3,1960,0,>=10,92012,1
72,9629,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,850,2,1910,0,4,38544,0
73,8662,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,500,2,1985,0,4,68249,0
74,13923,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1565,2,2004,0,2,38544,0
75,2822,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2600,2,1960,0,   .,13213,1
76,4420,2013,"0,832876712",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2192,1,1988,0,   .,54280,0
77,15633,2016,"0,99726776",1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,1,390,1,1900,0,3,91477,0
78,10637,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,800,4,1980,0,   .,6012,0
79,2291,2014,0,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1740,1,,0,   .,87085,0
80,7154,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3175,4,1980,0,   .,6083,1
81,12030,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1420,2,1988,0,   .,34023,1
82,5155,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,4,1960,0,   .,6030,0
83,3211,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1891,2,1980,0,   .,13213,1
